Model Input,Prediction File,Threshold,Accuracy,Macro Precision,Macro Recall,Macro F1,Preictal Precision,Preictal Recall,Preictal F1,AUROC,AUPRC,Correct Interictal,False Preictal Alarms,Missed Preictal,Correct Preictal,Test Windows
EEG-only,D:\SeizeIT2_Preictal_Turbo_Outputs\models_preictal_cnn_tcn_transformer_balanced_near_sub125_40subjects_DEBUG_EEG_ONLY_ABLATION\preictal_test_predictions.csv,0.485107421875,0.5025,0.7506265664160401,0.5025,0.33886494073871043,0.5012531328320802,1.0,0.667779632721202,0.5706819999999999,0.5684153422721281,5,995,0,1000,2000
Multimodal: EEG + ECG + EMG + Movement,D:\SeizeIT2_Preictal_Turbo_Outputs\models_preictal_cnn_tcn_transformer_balanced_near_sub125_40subjects_DEBUG\preictal_test_predictions.csv,0.556640625,0.8605,0.8615154970311605,0.8605,0.8604019672815234,0.842355175688509,0.887,0.864101315148563,0.9321204999999999,0.9155309478619836,834,166,113,887,2000
